,alumnus,organisation,place,country
1784,Edvard Magnus Rodhe,Lund University,Lund Municipality,Sweden
1785,Frederic Wilhelm Christian Areschoug,Lund University,Lund Municipality,Sweden
1786,Catharina Stenqvist,Lund University,Lund Municipality,Sweden
1787,Sara Snogerup Linse,Lund University,Lund Municipality,Sweden
1788,Karna Lidmar-Bergström,Lund University,Lund Municipality,Sweden
1789,Inger-Lena Hultberg,Lund University,Lund Municipality,Sweden
1790,Ann Heberlein,Lund University,Lund Municipality,Sweden
1791,Gunilla Florby,Lund University,Lund Municipality,Sweden
1792,Hilma Borelius,Lund University,Lund Municipality,Sweden
1793,Gunnar Jarring,Lund University,Lund Municipality,Sweden
1794,Carl Henrik Boheman,Lund University,Lund Municipality,Sweden
1795,Carl Fredrik Fallén,Lund University,Lund Municipality,Sweden
1796,Lars Gårding,Lund University,Lund Municipality,Sweden
1797,Axel Moberg,Lund University,Lund Municipality,Sweden
1798,Elis Strömgren,Lund University,Lund Municipality,Sweden
1799,Gustaf Retzius,Lund University,Lund Municipality,Sweden
1800,Wilhelm Agrell,Lund University,Lund Municipality,Sweden
1801,Sven Ludvig Lovén,Lund University,Lund Municipality,Sweden
1802,Arvid Lindau,Lund University,Lund Municipality,Sweden
1803,Anders Wiman,Lund University,Lund Municipality,Sweden
1804,Anders Lindstedt,Lund University,Lund Municipality,Sweden
1805,Anders Jahan Retzius,Lund University,Lund Municipality,Sweden
1806,Christian Wilhelm Blomstrand,Lund University,Lund Municipality,Sweden
1807,Carl Wilhelm Oseen,Lund University,Lund Municipality,Sweden
1808,Göran Therborn,Lund University,Lund Municipality,Sweden
1809,Anders Nygren,Lund University,Lund Municipality,Sweden
1810,Carl Jakob Sundevall,Lund University,Lund Municipality,Sweden
1811,Esaias Tegnér,Lund University,Lund Municipality,Sweden
1812,Carl Adolph Agardh,Lund University,Lund Municipality,Sweden
1813,Torsten Hägerstrand,Lund University,Lund Municipality,Sweden
1814,Lars Hörmander,Lund University,Lund Municipality,Sweden
1815,Gottfrid Billing,Lund University,Lund Municipality,Sweden
1816,Martin P. Nilsson,Lund University,Lund Municipality,Sweden
1817,K. G. Hammar,Lund University,Lund Municipality,Sweden
1818,Johannes Rydberg,Lund University,Lund Municipality,Sweden
1819,Östen Undén,Lund University,Lund Municipality,Sweden
1820,Arvid Carlsson,Lund University,Lund Municipality,Sweden
1821,Örjan Wikander,Lund University,Lund Municipality,Sweden
1822,Frans Gustaf Emanuel Walberg,Lund University,Lund Municipality,Sweden
1823,Sven Nilsson,Lund University,Lund Municipality,Sweden
1824,Manne Siegbahn,Lund University,Lund Municipality,Sweden
1825,Jonas Hafström,Lund University,Lund Municipality,Sweden
1826,Elias Magnus Fries,Lund University,Lund Municipality,Sweden
1827,Bengt Lidforss,Lund University,Lund Municipality,Sweden
1828,Abraham Peter Cronholm,Lund University,Lund Municipality,Sweden
1829,Mortimer Agardh,Lund University,Lund Municipality,Sweden
1830,Carl Martin Edsman,Lund University,Lund Municipality,Sweden
1831,Axel Möller,Lund University,Lund Municipality,Sweden
1832,Åke Gustafsson,Lund University,Lund Municipality,Sweden
1833,Björn Bjerke,Lund University,Lund Municipality,Sweden
1834,Einar Naumann,Lund University,Lund Municipality,Sweden
1835,Svante Samuel Murbeck,Lund University,Lund Municipality,Sweden
1836,Carl Gustaf Thomson,Lund University,Lund Municipality,Sweden
1837,Torbjörn Sjöstrand,Lund University,Lund Municipality,Sweden
1838,Mauricio Rojas,Lund University,Lund Municipality,Sweden
1839,Anders Gustaf Dahlbom,Lund University,Lund Municipality,Sweden
1840,Sverker Oredsson,Lund University,Lund Municipality,Sweden
1841,Axel Leijonhufvud,Lund University,Lund Municipality,Sweden
1842,Otto Martin Torell,Lund University,Lund Municipality,Sweden
1843,Martin Lind,Lund University,Lund Municipality,Sweden
1844,Gun Hellsvik,Lund University,Lund Municipality,Sweden
1845,Göte Turesson,Lund University,Lund Municipality,Sweden
1846,Pontus Fahlbeck,Lund University,Lund Municipality,Sweden
1847,Kilian Stobæus,Lund University,Lund Municipality,Sweden
1848,Albert Victor Bäcklund,Lund University,Lund Municipality,Sweden
1849,Erland Samuel Bring,Lund University,Lund Municipality,Sweden
1850,Erik Hulthén,Lund University,Lund Municipality,Sweden
1851,Henrik Reuterdahl,Lund University,Lund Municipality,Sweden
1852,Nils Christoffer Dunér,Lund University,Lund Municipality,Sweden
1853,Johan Wilhelm Zetterstedt,Lund University,Lund Municipality,Sweden
1854,Elis Essen-Möller,Lund University,Lund Municipality,Sweden
1855,Peter Gärdenfors,Lund University,Lund Municipality,Sweden
1856,Cecilia Jarlskog,Lund University,Lund Municipality,Sweden
1857,Bror Emil Hildebrand,Lund University,Lund Municipality,Sweden
1858,Ulrika Marklund,Karolinska Institute,Solna Municipality,Sweden
1859,Henrik Grönberg,Karolinska Institute,Solna Municipality,Sweden
1860,Agneta Herlitz,Karolinska Institute,Solna Municipality,Sweden
1861,Staffan Normark,Karolinska Institute,Solna Municipality,Sweden
1862,Lars Bäckman,Karolinska Institute,Solna Municipality,Sweden
1863,Rolf Maximilian Sievert,Karolinska Institute,Solna Municipality,Sweden
1864,Karin Dahlman-Wright,Karolinska Institute,Solna Municipality,Sweden
1865,Erik Widman,Karolinska Institute,Solna Municipality,Sweden
1866,Soheil Damangir,Karolinska Institute,Solna Municipality,Sweden
1867,Helena Karlström,Karolinska Institute,Solna Municipality,Sweden
1868,Aniko Bartfai,Karolinska Institute,Solna Municipality,Sweden
1869,Andrej Weintraub,Karolinska Institute,Solna Municipality,Sweden
1870,Camilla Sjögren Björkegren,Karolinska Institute,Solna Municipality,Sweden
1871,Kariem Ezzat,Karolinska Institute,Solna Municipality,Sweden
1872,Tommy Nyberg,Karolinska Institute,Solna Municipality,Sweden
1873,Peter Mellroth,Karolinska Institute,Solna Municipality,Sweden
1874,Mats J. Olsson,Karolinska Institute,Solna Municipality,Sweden
1875,Susanna C. Larsson,Karolinska Institute,Solna Municipality,Sweden
1876,Sven-Olof Berlin,Karolinska Institute,Solna Municipality,Sweden
1877,Sten Lagergren,Karolinska Institute,Solna Municipality,Sweden
1878,Torleif Härd,Karolinska Institute,Solna Municipality,Sweden
1879,Ida Sörensen,Karolinska Institute,Solna Municipality,Sweden
1880,Erik Forsell,Karolinska Institute,Solna Municipality,Sweden
1881,Agne Larsson,Karolinska Institute,Solna Municipality,Sweden
1882,Magnus Ingelman-Sundberg,Karolinska Institute,Solna Municipality,Sweden
1883,Måns Ehrenberg,Karolinska Institute,Solna Municipality,Sweden
1884,Gunnar von Heijne,Karolinska Institute,Solna Municipality,Sweden
1885,Dorcus Kiwanuka Henriksson,Karolinska Institute,Solna Municipality,Sweden
