,alumnus,place,country,university
437,Carl Westman,Uppsala,Sweden,Royal Institute of Technology
438,Otto Lindblad,Karlstorps församling,Sweden,Lund University
439,Ulf Hannerz,Malmö,Sweden,Stockholm University
440,Rune Elmqvist,Lund,Sweden,Lund University
441,Bertil Hult,Stockholm,Sweden,Lund University
442,Pehr Löfling,Valbo församling,Sweden,Uppsala University
443,Nils Gabriel Sefström,Ilsbo församling,Sweden,Uppsala University
444,Sivar Arnér,Kalmar County,Sweden,Lund University
445,Arvid Ahnfelt,Lunds Cathedral Assembly,Sweden,Uppsala University
446,Arvid August Afzelius,Fjällåkra,Sweden,Uppsala University
447,Mikael Odenberg,Stockholm,Sweden,Stockholm University
448,Pehr Kalm,Själevad parish,Sweden,Uppsala University
449,Carl Axel Magnus Lindman,Halmstad,Sweden,Uppsala University
450,Johan Ihre,Lunds Cathedral Assembly,Sweden,Uppsala University
451,Fredrik Hasselqvist,Törnevalla församling,Sweden,Uppsala University
452,Pehr Wilhelm Wargentin,Sunne,Sweden,Uppsala University
453,Axel Anderberg,Kristianstads parish,Sweden,Royal Institute of Technology
454,Elias Wessén,Linderås församling,Sweden,Uppsala University
455,Knut Ångström,Uppsala Cathedral Assembly,Sweden,Uppsala University
456,Birger Ljungström,Uddevalla,Sweden,Royal Institute of Technology
457,Hugo von Zeipel,Stockholm,Sweden,Uppsala University
458,Hugo von Zeipel,Österhaninge församling,Sweden,Uppsala University
459,Gustaf Johan Billberg,Karlskrona,Sweden,Lund University
460,Per Collinder,Sundsvall,Sweden,Lund University
461,Per Collinder,Sundsvall,Sweden,Uppsala University
462,Göran Sonnevi,Lund,Sweden,Lund University
463,Clas Theodor Odhner,Alingsås landsförsamling,Sweden,Uppsala University
464,Hans Rausing,Gothenburg,Sweden,Lund University
465,Stefan Persson,Stockholm,Sweden,Stockholm University
466,Sture Petrén,Oscars Assembly,Sweden,Lund University
467,Carl Bergsten,Norrköping,Sweden,Royal Institute of Technology
468,Assar Lindbeck,Umeå,Sweden,Stockholm University
469,Olof Rudbeck the Younger,Uppsala,Sweden,Uppsala University
470,Bent Hamer,Sandefjord,Norway,Stockholm University
471,"Prince August, Duke of Dalarna",Drottningholm Palace,Sweden,Uppsala University
472,Erik Lindahl,Adolf Fredriks parish,Sweden,Lund University
473,Kornél Pajor,Budapest,Hungary,Royal Institute of Technology
474,Jens Lapidus,Hägersten,Sweden,Stockholm University
475,Johan Erhard Areschoug,Göteborg City,Sweden,Lund University
476,Jesper Swedberg,Falu Kristine församling,Sweden,Lund University
477,Jesper Swedberg,Falu Kristine församling,Sweden,Uppsala University
478,Johan Andreas Murray,Stockholm,Sweden,Uppsala University
479,Gustaf Åkerman,Stockholm,Sweden,Lund University
480,Gustaf Åkerman,Stockholm,Sweden,Uppsala University
481,Petter,Sweden,Sweden,Uppsala University
482,Bror Yngve Sjöstedt,Hjo,Sweden,Uppsala University
483,Gregor Paulsson,Helsingborgs Maria parish,Sweden,Lund University
484,Leif Erland Andersson,Falkenberg,Sweden,Lund University
485,Nicolaus Olai Bothniensis,Piteå,Sweden,Uppsala University
486,Axel Gustav Adlercreutz,Skara,Sweden,Uppsala University
487,Axel Hägerström,Vireda församling,Sweden,Uppsala University
488,Axel Johannes Malmquist,Askersund Municipality,Sweden,Stockholm University
489,Axel Moberg,Norrköping,Sweden,Lund University
490,Baltzar von Platen,Ystad,Sweden,Royal Institute of Technology
491,Bengt Danielsson,Krokek,Sweden,Uppsala University
492,Bengt Westerberg,Solna Municipality,Sweden,Stockholm University
493,Bengt Westerberg,Solna Municipality,Sweden,Karolinska Institute
494,Erling Eidem,Gothenburg,Sweden,University of Gothenburg
495,Christopher Jacob Boström,Piteå city Parish,Sweden,Uppsala University
496,Bertil Werkström,Lund,Sweden,Lund University
497,Bertil H. van Boer,Tallahassee,United States of America,Uppsala University
498,Johan Paulinus Lillienstedt,Pori,Finland,Uppsala University
499,Johan Adler Salvius,Strängnäs,Sweden,Uppsala University
500,Ludwig Ramberg,Helsingborgs Maria parish,Sweden,Lund University
501,Albert Atterberg,Härnösands domkyrkoförsamling,Sweden,Uppsala University
502,Brian Harold Mason,Port Chalmers,New Zealand,Stockholm University
503,Horace Engdahl,Karlskrona,Sweden,Stockholm University
504,Rutger Sernander,Viby parish,Sweden,Uppsala University
505,Uno Åhrén,Stockholm,Sweden,Royal Institute of Technology
506,Carl Henrik Fredriksson,Jönköping,Sweden,University of Gothenburg
507,Carl Henrik Fredriksson,Jönköping,Sweden,Lund University
508,Maciej Zaremba,Poznań,Poland,Stockholm University
509,Magnus Gabriel De la Gardie,Tallinn,Estonia,Uppsala University
510,Lars Gyllensten,Oscars Assembly,Sweden,Karolinska Institute
511,Jonas Jonasson,Växjö,Sweden,University of Gothenburg
512,Johan August Wahlberg,Fässbergs socken,Sweden,Uppsala University
513,Herbert Olivecrona,Visby parish,Sweden,Stockholm University
514,Lars Gårding,Hedemora,Sweden,Lund University
515,Göran Rothman,Skatelöv parish,Sweden,Uppsala University
516,Niklas Eklund,Gothenburg,Sweden,University of Gothenburg
517,Carl Fredrik Fallén,Kristinehamns,Sweden,Lund University
518,Carl-Gustav Esseen,Linköping,Sweden,Uppsala University
519,Einar Hille,New York City,United States of America,Stockholm University
520,Carl von Rosenstein,Uppsala Cathedral Assembly,Sweden,Uppsala University
521,Isak Gustaf Clason,Stora Kopparbergs församling,Sweden,Royal Institute of Technology
522,Guy von Dardel,Stockholm,Sweden,Royal Institute of Technology
523,Olof af Acrel,Österåkers församling,Sweden,Uppsala University
524,Tor Andræ,Vena församling,Sweden,Uppsala University
525,Gustav Sundbärg,Leksands parish,Sweden,Uppsala University
526,Göran Malmqvist,Jönköping,Sweden,Stockholm University
527,Göran Malmqvist,Jönköping,Sweden,Uppsala University
528,Sören Wibe,Östersund,Sweden,Umeå University
529,Sören Wibe,Östersund,Sweden,Stockholm University
530,Henrik Samuel Nyberg,Söderbärke församling,Sweden,Uppsala University
531,Carl Skottsberg,Karlshamns församling,Sweden,Uppsala University
532,Alf Ross,Copenhagen,Denmark,Uppsala University
533,Uno von Troil,Stockholm,Sweden,Uppsala University
534,Stane Dolanc,Hrastnik,Slovenia,Uppsala University
535,Ragnar Östberg,Stockholm,Sweden,Royal Institute of Technology
536,Soledad Fariña Vicuña,Antofagasta,Chile,Stockholm University
537,Jens Holm,Sundsvall,Sweden,Uppsala University
538,Lars Leijonborg,Täby,Sweden,Stockholm University
539,Sture Allén,Gothenburg,Sweden,University of Gothenburg
540,Knut Lundmark,Älvsby församling,Sweden,Uppsala University
541,Henrik Sjögren,Köping,Sweden,Karolinska Institute
542,Magnus Carlsson,Fristad,Sweden,University of Gothenburg
543,Tobias Krantz,Bankeryd,Sweden,Uppsala University
544,Fredrik Lilljekvist,Klara Parish,Sweden,Royal Institute of Technology
545,Olof Celsius,Uppsala Cathedral Assembly,Sweden,Uppsala University
546,Johan Gunnar Andersson,Knista parish,Sweden,Uppsala University
547,Lars Widding,Umeå,Sweden,Stockholm University
548,Ferdinand Boberg,Falu Kristine församling,Sweden,Royal Institute of Technology
549,Claës Fredrik Hornstedt,Linköping cathedral,Sweden,Uppsala University
550,Hrafn Gunnlaugsson,Reykjavík,Iceland,Stockholm University
551,Carl-Henric Svanberg,Porjus,Sweden,Linköping University
552,Carl-Henric Svanberg,Porjus,Sweden,Uppsala University
553,Håkan Hellström,Gothenburg,Sweden,University of Gothenburg
554,Per Georg Scheutz,Jönköpings Kristina församling,Sweden,Lund University
555,Stefan Attefall,Lycksele,Sweden,Umeå University
556,Dag Hartelius,Härnösands domkyrkoförsamling,Sweden,Uppsala University
557,Carl Henrik Boheman,Jönköping,Sweden,Lund University
558,Erik Stensiö,Oskarshamn,Sweden,Uppsala University
559,Einar Lönnberg,Stockholm,Sweden,Uppsala University
560,Gunnar Jarring,Höganäs,Sweden,Lund University
561,Johan Herman Lie Vogt,Tvedestrand,Norway,Stockholm University
562,Samuel Klingenstierna,Kärna församling,Sweden,Uppsala University
563,Sten Tolgfors,Forshaga,Sweden,Örebro University
564,Melodie MC,Sundsvall,Sweden,Mid Sweden University
565,Carl Gustaf af Leopold,Maria Magdalena parish,Sweden,Uppsala University
566,Bror Emil Hildebrand,Madesjö församling,Sweden,Lund University
567,Anna Gustafsson Chen,Sweden,Sweden,Stockholm University
568,Anna Gustafsson Chen,Sweden,Sweden,Lund University
569,Erik Benzelius the Elder,Luleå domkyrkoförsamling,Sweden,Uppsala University
570,Hans Alfredson,Malmö,Sweden,Lund University
571,Carl-Axel Acking,Helsingborg,Sweden,Royal Institute of Technology
572,Carl Abraham Pihl,Stavanger,Norway,Chalmers University of Technology
573,Bernhard Salin,Örebro Nikolai parish,Sweden,Uppsala University
574,Carl Fredric Adler,Stockholm,Sweden,Uppsala University
575,Carl Johan Malmsten,Skara domkyrkoförsamling,Sweden,Uppsala University
576,Carl Johan Tornberg,Linköping,Sweden,Uppsala University
577,Carl Kempe,Jakob and Johanne parish,Sweden,Uppsala University
578,Carl Larsson Kämpe,Vårgårda Municipality,Sweden,Uppsala University
579,Carl Ludvig Lithander,Reigi,Estonia,Uppsala University
580,Carl Schlyter,Danderyd Municipality,Sweden,Royal Institute of Technology
581,Carl Snoilsky,Klara Parish,Sweden,Uppsala University
582,Carl Wilhelm Samuel Aurivillius,Forsa församling,Sweden,Uppsala University
583,Oscar Almgren,Maria Magdalena parish,Sweden,Uppsala University
584,Christopher Tärnström,Uppsala,Sweden,Uppsala University
585,Clas Alströmer,Alingsås,Sweden,Uppsala University
586,Conrad Quensel,Scania,Sweden,Lund University
587,Ernst Wigforss,Halmstad,Sweden,Lund University
588,Peter Gärdenfors,Sweden,Sweden,Lund University
589,Dan Olweus,Kalmar,Sweden,Umeå University
590,Samuel Troilius,Stora Skedvi socken,Sweden,Uppsala University
591,Anders Franzén,Stockholm,Sweden,Royal Institute of Technology
592,Karl-Birger Blomdahl,Växjö,Sweden,Royal Institute of Technology
593,Dietrich Müller-Hillebrand,Dieuze,France,Royal Institute of Technology
594,Jan O. Karlsson,Stockholm,Sweden,Stockholm University
595,Nils Gustaf Ekholm,Smedjebacken,Sweden,Uppsala University
596,David M. Wilson,Dacre,United Kingdom,Lund University
597,Leonard Gyllenhaal,Älvsborg County,Sweden,Uppsala University
598,Pär Ström,Sollentuna Municipality,Sweden,Royal Institute of Technology
599,Dror Feiler,Tel Aviv,Israel,Stockholm University
600,Johannes Gezelius the elder,Romfartuna församling,Sweden,Uppsala University
601,Karl-Axel Ekbom,Gothenburg,Sweden,Stockholm University
602,Karl-Axel Ekbom,Gothenburg,Sweden,Karolinska Institute
603,Lars Olofsson,Kristianstad,Sweden,Lund University
604,Johan Ångström,The iron factory Lögdö bruk,Sweden,Uppsala University
605,Edvard Carleson,Klockrike församling,Sweden,Uppsala University
606,Gösta Forssell,Aspeboda parish,Sweden,Stockholm University
607,John Forssman,Kalmar domkyrkoförsamling,Sweden,Lund University
608,Tom Forssner,Klara Parish,Sweden,Uppsala University
609,Gunnar Forszén,Ramsele,Sweden,Royal Institute of Technology
610,Helge Fosseus,Onsala,Sweden,Lund University
611,Carl Frænell,Bollnäs,Sweden,Royal Institute of Technology
612,Daniel Frank,Uppsala,Sweden,Örebro University
613,Mattias Fremling,Malmö Sankt Petri församling,Sweden,Lund University
614,Algot Friberg,Mariestads,Sweden,Royal Institute of Technology
615,Algot Friberg,Mariestads,Sweden,Uppsala University
616,Per Friberg,Helsingborg,Sweden,Royal Institute of Technology
617,Carl von Friesen,Hökhuvuds församling,Sweden,Uppsala University
618,Otto von Friesen,Kulltorps församling,Sweden,Uppsala University
619,Sten von Friesen,Uppsala,Sweden,Uppsala University
620,Arne Frykholm,Chennai,India,Uppsala University
621,Carl-Erik Fröberg,Slätthög,Sweden,Lund University
622,Kåre Fröier,Västerås,Sweden,Uppsala University
623,Nils Fröman,Stockholm,Sweden,Royal Institute of Technology
624,Johan Funck,Sala,Sweden,Uppsala University
625,Hans Furuhagen,Borgs socken,Sweden,Uppsala University
626,David Färdmar,Västra Frölunda,Sweden,University of Gothenburg
627,Johan Fredrik Fåhræus,Slite,Sweden,Uppsala University
628,Olof Fåhræus,Othem parish,Sweden,Uppsala University
629,Erik Gadelius,Maria Magdalena parish,Sweden,Uppsala University
630,Carl Hartman,Solna,Sweden,Uppsala University
631,Henrik Gahn,Falu Kristine församling,Sweden,Uppsala University
632,Henrik Gahn den yngre,Falu Kristine församling,Sweden,Uppsala University
633,Sven Gard,Katarina parish,Sweden,Karolinska Institute
634,Axel Gavelin,Vilhelmina församling,Sweden,Uppsala University
635,Sven Gavelin,Solna Municipality,Sweden,Stockholm University
636,Karl Reinhold Geijer,Nyeds församling,Sweden,Uppsala University
637,Paulus Genberg,Brunflo församling,Sweden,Lund University
638,Carl Fredrik Georgii,Parish of St Gertrud of Germany,Sweden,Uppsala University
639,Evert Georgii,Uppsala,Sweden,Uppsala University
640,Johan Gerdesköld,Uppsala,Sweden,Uppsala University
641,Albrecht Gerner,Stockholm,Sweden,Uppsala University
642,Otto Gertz,Malmö Karoli församling,Sweden,Lund University
643,Martinus Gestrinius,Gävle Heliga Trefaldighets,Sweden,Uppsala University
644,Jan Gezelius,Stockholm,Sweden,Royal Institute of Technology
645,Jan Gezelius,Stockholm,Sweden,Uppsala University
646,Hans Gillingstam,Stockholm,Sweden,Stockholm University
647,Gustaf Gilljam,Ärentuna socken,Sweden,Uppsala University
648,Olof Glas,Umeå stadsförsamling,Sweden,Uppsala University
649,Jan Glete,Västerås,Sweden,Stockholm University
650,Boris Glibusic,Jönköping,Sweden,Lund University
651,Hjalmar Granholm,Umeå,Sweden,Royal Institute of Technology
652,Gunnar Grenander,Umeå Municipality,Sweden,Royal Institute of Technology
653,Lennart Groll,Storkyrkoförsamlingen,Sweden,Uppsala University
654,Carl-Gustav Groth,Helsinki,Finland,Karolinska Institute
655,Johan Groth,Oscars Assembly,Sweden,Royal Institute of Technology
656,Samuel Grubbe,Seglora församling,Sweden,Uppsala University
657,Peter Olof Gränström,Skatelövs socken,Sweden,Lund University
658,Otto Gröné,Grönby församling,Sweden,Lund University
659,Per Gudmundson,Leksand,Sweden,Stockholm University
660,Anders Gullberg,Stockholm,Sweden,Stockholm University
661,Ingvar Gullnäs,Sågmyra,Sweden,Uppsala University
662,Gustaf Vilhelm Gumaelius,Lids församling,Sweden,Uppsala University
663,Edvin Kallstenius,Filipstads församling,Sweden,Lund University
664,Edy Velander,Jönköping,Sweden,Royal Institute of Technology
665,Efraim Liljequist,Örebro Nikolai parish,Sweden,Uppsala University
666,Arvid Lindström,Hedemora,Sweden,Uppsala University
667,Ernst Julius Berg,Östersund,Sweden,Royal Institute of Technology
668,Elis Essen-Möller,Jönköpings Sofia församling,Sweden,Lund University
669,Jacob Benzelius,Uppsala Cathedral Assembly,Sweden,Uppsala University
670,Knut Frænkel,Karlstad,Sweden,Royal Institute of Technology
671,Mattias Gardell,Solna Municipality,Sweden,Stockholm University
672,Johan Wilhelm Zetterstedt,Mjölby socken,Sweden,Lund University
673,Knut Ahnlund,Stockholm,Sweden,Stockholm University
674,Sten Andersson,Stockholm,Sweden,Stockholm University
675,Tamerlan Thorell,Gothenburg,Sweden,Uppsala University
676,Per Ahlmark,Stockholm,Sweden,Stockholm University
677,Nils Christoffer Dunér,Billeberga parish,Sweden,Lund University
678,Nils Christoffer Dunér,Billeberga parish,Sweden,Uppsala University
679,Henrik Reuterdahl,Malmö Karoli församling,Sweden,Lund University
680,Viktor Kochubey,Dykanka,Ukraine,Uppsala University
681,Erik Holmberg,Skillingaryd,Sweden,Lund University
682,Eric Gustaf Lidbeck,Edsleskogs parish,Sweden,Uppsala University
683,Erik Hulthén,Helsingborg,Sweden,Lund University
684,Erik Jarvik,Utby socken,Sweden,Uppsala University
685,Erik Johan Stagnelius,Gärdslösa,Sweden,Uppsala University
686,Eric Ragnor Sventenius,Sweden,Sweden,Lund University
687,Erland Samuel Bring,Ausås parish,Sweden,Lund University
688,Erland Nordenskiöld,Stockholm,Sweden,Uppsala University
689,Johan Olof Wallin,Stora Tuna Rural Municipality,Sweden,Uppsala University
690,Sten Selander,Storkyrkoförsamlingen,Sweden,Uppsala University
691,Gunnar Hökmark,Ystad,Sweden,Lund University
692,Sten Rudholm,Karlstad,Sweden,Stockholm University
693,Sven Lindqvist,Stockholm,Sweden,Stockholm University
694,Ivar Rooth,Hedvig Eleonora församling,Sweden,Uppsala University
695,Herman Wold,Skien,Norway,Stockholm University
696,Yngve Larsson,Sundvall parish,Sweden,Uppsala University
697,Gabriel Gustafson,Visby,Sweden,Uppsala University
698,Sune Lindström,Malmö,Sweden,Royal Institute of Technology
699,Albert Victor Bäcklund,Höganäs Municipality,Sweden,Lund University
700,Tomas Nordahl,Norrköping,Sweden,Umeå University
701,Humberto Fernández Morán,La Cañada de Urdaneta,Venezuela,Stockholm University
702,Tage Danielsson,Linköping,Sweden,Uppsala University
703,Richard Dybeck,Odensvi församling,Sweden,Uppsala University
704,P. C. Jersild,Katrineholm,Sweden,Karolinska Institute
705,Nils Strindberg,Maria Magdalena parish,Sweden,Uppsala University
706,Eygló Harðardóttir,Reykjavík,Iceland,Stockholm University
707,Jonas Wenström,Hällefors parish,Sweden,Uppsala University
708,Kilian Stobæus,Vinslövs församling,Sweden,Lund University
709,Waloddi Weibull,Vittskövle,Sweden,Royal Institute of Technology
710,Waloddi Weibull,Vittskövle,Sweden,Uppsala University
711,Gunnar Malmquist,Ystad,Sweden,Lund University
712,Kay Pollak,Gothenburg,Sweden,Umeå University
713,Gunnar Wennerberg,Göteborg City,Sweden,Uppsala University
714,Pontus Fahlbeck,Ölme församling,Sweden,Lund University
715,Göte Turesson,Malmö,Sweden,Lund University
716,Jacob Faggot,Vendels församling,Sweden,Uppsala University
717,Gustaf Larson,Sweden,Sweden,Royal Institute of Technology
718,Robert Dahlander,Gothenburg,Sweden,Royal Institute of Technology
719,Jacob Axelsson Lindblom,Skeda församling,Sweden,Uppsala University
720,Tage William-Olsson,London,United Kingdom,Royal Institute of Technology
721,John Ausonius,Lidingö,Sweden,Royal Institute of Technology
722,Lars Edvard Phragmén,Örebro,Sweden,Uppsala University
723,Gustaf Eneström,Nora,Sweden,Uppsala University
724,Petter Conrad Boman,Stockholm City,Sweden,Uppsala University
