,alumnus,place,country,university
330,George Papandreou,Saint Paul,United States of America,Stockholm University
331,Alva Myrdal,Uppsala Cathedral Assembly,Sweden,Stockholm University
332,Alva Myrdal,Uppsala Cathedral Assembly,Sweden,Uppsala University
333,Gunnar Myrdal,Skattunge Parish,Sweden,Stockholm University
334,Sven Hedin,Klara Parish,Sweden,Stockholm University
335,Sven Hedin,Klara Parish,Sweden,Uppsala University
336,"Victoria, Crown Princess of Sweden",Karolinska University Hospital,Sweden,Uppsala University
337,Hugo Theorell,Linköping cathedral,Sweden,Karolinska Institute
338,Nathan Söderblom,Trönö,Sweden,Uppsala University
339,Gustaf Dalén,Stenstorp,Sweden,Chalmers University of Technology
340,Johann Christian Daniel von Schreber,Weißensee,Germany,Uppsala University
341,Arvid Wretlind,Avesta,Sweden,Karolinska Institute
342,Bernhard Karlgren,Jönköping,Sweden,Uppsala University
343,Svante Pääbo,Stockholm,Sweden,Uppsala University
344,Manne Siegbahn,Örebro,Sweden,Lund University
345,Ivar Otto Bendixson,Oscars Assembly,Sweden,Royal Institute of Technology
346,Ivar Otto Bendixson,Oscars Assembly,Sweden,Stockholm University
347,Ivar Otto Bendixson,Oscars Assembly,Sweden,Uppsala University
348,Stefan Borsch,Hagfors,Sweden,Örebro University
349,Per Jacobsson,Tanum Municipality,Sweden,Uppsala University
350,Carl Linnaeus the Younger,Falu Kristine församling,Sweden,Uppsala University
351,Vagn Walfrid Ekman,Stockholm,Sweden,Uppsala University
352,Erik Lundberg,Sankt Matteus,Sweden,Stockholm University
353,Bertil Ohlin,Parish of Klippan,Sweden,Stockholm University
354,Bertil Ohlin,Parish of Klippan,Sweden,Lund University
355,Björn Ulvaeus,Gothenburg,Sweden,Lund University
356,Dolph Lundgren,Stockholm,Sweden,Royal Institute of Technology
357,Dolph Lundgren,Spånga,Sweden,Royal Institute of Technology
358,Anders Borg,Stockholm,Sweden,Stockholm University
359,Anders Borg,Skarpnäcks församling,Sweden,Stockholm University
360,Anders Borg,Stockholm,Sweden,Uppsala University
361,Anders Borg,Skarpnäcks församling,Sweden,Uppsala University
362,Sofia Kovalevskaya,Moscow,Russia,Stockholm University
363,Emmanuel Swedenborg,Jakob and Johanne parish,Sweden,Uppsala University
364,Theodor Svedberg,Valbo församling,Sweden,Uppsala University
365,Anders Jonas Ångström,The iron factory Lögdö bruk,Sweden,Uppsala University
366,Allvar Gullstrand,Landskrona Parish,Sweden,Uppsala University
367,Kai Siegbahn,Lund,Sweden,Stockholm University
368,Kai Siegbahn,Lund,Sweden,Uppsala University
369,Sergio Badilla Castillo,Santiago,Chile,Stockholm University
370,Jesper Svenbro,Landskrona,Sweden,Lund University
371,Daniel Rickardsson,Hudiksvall,Sweden,Umeå University
372,Zeth Höglund,Örgryte socken,Sweden,University of Gothenburg
373,Torbern Bergman,Låstads församling,Sweden,Uppsala University
374,Charlotte Cederschiöld,Gävle,Sweden,Stockholm University
375,Anna Lindh,Enskede-Årsta parish,Sweden,Uppsala University
376,Bengt Edlén,Gusum,Sweden,Uppsala University
377,"Princess Madeleine, Duchess of Hälsingland and Gästrikland",Drottningholm Palace,Sweden,Stockholm University
378,"Prince Carl Philip, Duke of Värmland",Stockholm Palace,Sweden,Swedish University of Agricultural Sciences
379,Anna Bergendahl,Stockholm,Sweden,Örebro University
380,Joachim Israel,Karlsruhe,Germany,Stockholm University
381,Johann Beckmann,Hoya,Germany,Uppsala University
382,Rupiah Banda,Gwanda,Zimbabwe,Lund University
383,Carl Curman,Sjögestads församling,Sweden,Karolinska Institute
384,Carl Curman,Sjögestads församling,Sweden,Uppsala University
385,Sven-Göran Eriksson,Torsby,Sweden,Örebro University
386,Sven Nilsson,Asmundtorp parish,Sweden,Lund University
387,Camilla Läckberg,Fjällbacka,Sweden,University of Gothenburg
388,Arne Tiselius,Stockholm,Sweden,Uppsala University
389,Charlotte Kalla,Tärendö,Sweden,Mid Sweden University
390,Maria Gripe,Vaxholm,Sweden,Stockholm University
391,Cecilia Malmström,Stockholm,Sweden,University of Gothenburg
392,Anna Haag,Köping,Sweden,Mid Sweden University
393,Rebecka Liljeberg,Södertälje,Sweden,Karolinska Institute
394,Amelia Andersdotter,Enköping,Sweden,Lund University
395,Helena Ekholm,Sollefteå,Sweden,Mid Sweden University
396,Ulf von Euler,Stockholm,Sweden,Karolinska Institute
397,Karin Boye,Gothenburg,Sweden,Uppsala University
398,Karin Boye,Tyska Christinae församling,Sweden,Uppsala University
399,Kerstin Ekman,Finspång Municipality,Sweden,Uppsala University
400,Isabella Lövin,Helsingborg,Sweden,Stockholm University
401,Anette Norberg,Härnösand,Sweden,Uppsala University
402,Nyamko Sabuni,Bujumbura,Burundi,Uppsala University
403,Urban Hjärne,Skworitz,Russia,Uppsala University
404,Gunno Dahlstierna,Dalsland,Sweden,Uppsala University
405,Samuel Columbus,Husby församling,Sweden,Uppsala University
406,Lars Wivallius,Öknaskogen,Sweden,Uppsala University
407,Gina Dirawi,Sundsvall,Sweden,Mid Sweden University
