,alumnusLabel,birthplaceLabel,birthplacecountryLabel,universityLabel
2501,Urban Lendahl,Stockholm,Sweden,Karolinska Institute
2502,Urban Lendahl,Stockholm,Sweden,Uppsala University
2503,Einar Lenngren,Hedemora,Sweden,Royal Institute of Technology
2504,Frithiof Lennmalm,Norrköping,Sweden,Uppsala University
2505,Viktor Lennstrand,Gävle Heliga Trefaldighets,Sweden,Uppsala University
2506,Lennart Levi,Riga,Latvia,Karolinska Institute
2507,Carl Lewenhaupt,Riseberga församling,Sweden,Lund University
2508,Anders Lidbeck,Lund,Sweden,Lund University
2509,Jonas Lidströmer,Ljustorps socken,Sweden,Uppsala University
2510,Alarik Liedbeck,Uppsala,Sweden,Royal Institute of Technology
2511,Lars Liedbeck,Jönköping,Sweden,Uppsala University
2512,Lars-Erik Liedholm,Motala,Sweden,Lund University
2513,Sven-Eric Liedman,Karlskrona,Sweden,Lund University
2514,Sven-Eric Liedman,Karlskrona,Sweden,University of Gothenburg
2515,Johan Liljencrantz,Gävle,Sweden,Uppsala University
2516,Gustaf Arvid Lilliehöök,Göteborgs garnisonsförsamling,Sweden,Uppsala University
2517,Johan Georg Lillienberg,Bolmsö socken,Sweden,Lund University
2518,Rudolf Lilljeqvist,Stockholm,Sweden,Royal Institute of Technology
2519,Josua Lindahl,Kungsbacka,Sweden,Lund University
2520,Ingolf Lindau,Växjö,Sweden,Chalmers University of Technology
2521,Alf A. Lindberg,Växjö,Sweden,Karolinska Institute
2522,Hugo Lindberg,Eksjö,Sweden,Lund University
2523,Alexis Eduard Lindblom,Lyckeby,Sweden,Lund University
2524,Alexis Eduard Lindblom,Lösen parish,Sweden,Lund University
2525,Bo Lindell,Stockholm,Sweden,Royal Institute of Technology
2526,Ingvar Lindell,Växjö landsförsamling,Sweden,Lund University
2527,Johannes Emanuel Linderholm,Hakarp parish,Sweden,Uppsala University
2528,Axel Otto Lindfors,Lunds Cathedral Assembly,Sweden,Lund University
2529,Gustaf Lindgren,Klara Parish,Sweden,Royal Institute of Technology
2530,Julián Adem,Tuxpan,Mexico,Stockholm University
2531,Arthur Lindhagen,Hedvig Eleonora församling,Sweden,Uppsala University
2532,Helge Lindholm,Stockholm,Sweden,Uppsala University
2533,Tore Lindmark,Skeppsholms församling,Sweden,Royal Institute of Technology
2534,Paul Lindquist,Stockholm,Sweden,Uppsala University
2535,Abdolrahim Gavahi,Tehran,Iran,Uppsala University
2536,Adolf Natanael Lindqvist,Nässjö,Sweden,Uppsala University
2537,Hans Lindqvist,Gävle,Sweden,Uppsala University
2538,Svante Lindqvist,Stockholm,Sweden,Royal Institute of Technology
2539,Svante Lindqvist,Stockholm,Sweden,Uppsala University
2540,John Lindros,Vaxholm,Sweden,Royal Institute of Technology
