,alumnusLabel,birthplaceLabel,birthplacecountryLabel,universityLabel
5474,Shahram Bahmanyar,,,Karolinska Institute
5475,Marika Berglund,,,Karolinska Institute
5476,Peter Mellroth,,,Stockholm University
5477,Jan O. Pralits,,,Luleå University of Technology
5478,Sabine Kröger,,,Stockholm University
5479,Anders Näsman,,,Karolinska Institute
5480,Abdul Rashid Qureshi,,,Karolinska Institute
5481,Katarina Lyberg,,,Swedish University of Agricultural Sciences
5482,Katarina Lyberg,,,Karolinska Institute
5483,Isabelle Magalhaes,,,Karolinska Institute
5484,Janet Myhre,,,Stockholm University
5485,Jöran Mueller,,,Stockholm University
5486,Stig Nordlund,,,Stockholm University
5487,Rolf Engblom,,,Stockholm University
5488,Bertil Voss,,,Stockholm University
5489,Benjamin Hon Kei Yip,,,Karolinska Institute
5490,Florens Luoga,,,Lund University
5491,Mari Palta,,,Lund University
5492,Ingeborg Krafft,,,Royal Institute of Technology
5493,Roger Gabrielsson,,,Linköping University
5494,Anna Karlsson,,,Karolinska Institute
5495,Jorge B. Aquino,,,Karolinska Institute
5496,Eva Sverremark-Ekström,,,Stockholm University
5497,Eva B. Brittebo,,,Uppsala University
5498,Cormac McGrath,,,Karolinska Institute
5499,Johanne Lykke Holm,,,University of Gothenburg
5500,Tomas Carlsson,,,Chalmers University of Technology
5501,Malin Bonthron,,,Uppsala University
5502,Gösta Dyrssen,,,Stockholm University
5503,Ingmar Lidbeck,,,Uppsala University
5504,Voldmar Körlof,,,Lund University
5505,Marianne Eliason,,,Lund University
5506,Jakob Grinbaum,,,Uppsala University
5507,Therez Olsson,,,Uppsala University
5508,Mikael Ekdahl,,,Lund University
5509,Lars Simonsson,,,Stockholm University
5510,Johan René,,,Lund University
5511,Anders Blomberg,,,Umeå University
5512,Anders Blomberg,,,Uppsala University
5513,Anders Sjöstedt,,,Umeå University
5514,Zafar Hussain Ibupoto,,,Linköping University
5515,Annette Sköld,,,Karolinska Institute
5516,Marie W. Lindholm,,,Uppsala University
5517,Tomas Tjus,,,University of Gothenburg
5518,Jessica M Lindvall,,,Karolinska Institute
5519,Carl Johan Franzén,,,Chalmers University of Technology
5520,David Silvermyr,,,Lund University
5521,Marian Novotny,,,Uppsala University
5522,Niklas Ivarsson,,,Karolinska Institute
5523,Ingrid Mogren,,,Karolinska Institute
5524,Stefan Spulber,,,Karolinska Institute
5525,Erik Eliasson,,,Karolinska Institute
5526,Jiyuan Tu,,,Royal Institute of Technology
5527,Sven V. Larsson,,,Karolinska Institute
5528,Gösta Vestlund,,,Uppsala University
5529,Håkan Gustafsson,,,Lund University
5530,Johanna Havemann,,,Stockholm University
5531,Marie Nilsson,,,Karolinska Institute
5532,Malin Parmar,,,Lund University
5533,Anna Sarkadi,,,Uppsala University
5534,Tommy Nyberg,,,Stockholm University
5535,Stefan Thor,,,Umeå University
5536,Francesco Colucci,,,Umeå University
5537,Oleg Shupliakov,,,Karolinska Institute
5538,Ulrica Nilsson,,,Linköping University
5539,Linn Fagerberg,,,Uppsala University
5540,Sara Sandin,,,Stockholm University
5541,Sara Sandin,,,Karolinska Institute
5542,Therese Rehn,,,Swedish University of Agricultural Sciences
5543,Per Tynelius,,,Uppsala University
5544,Peter Hambäck,,,Umeå University
5545,Hongqi Xu,,,Lund University
5546,Cecilia Stålsby Lundborg,,,Karolinska Institute
5547,Cecilia Stålsby Lundborg,,,Uppsala University
5548,Maria Bondesson,,,Karolinska Institute
5549,Lars F. Berglund,,,Uppsala University
5550,Kent Sjöström,,,Lund University
5551,Anders Lanzén,,,Linköping University
5552,Gunnar Brinkmalm,,,Uppsala University
5553,Gerhard Fischer,,,University of Gothenburg
5554,Jenny Presto,,,Uppsala University
5555,Olle Eriksson,,,Uppsala University
5556,Qiaolin Deng,,,Karolinska Institute
5557,Johan Palmfeldt,,,Lund University
5558,Cesar Rodriguez,,,Karolinska Institute
5559,Johanna Sjöwall,,,Linköping University
5560,Kariem Ezzat,,,Stockholm University
5561,Christoffer Åberg,,,Lund University
5562,Aileen King,,,Uppsala University
5563,Lars A. Berglund,,,Linköping University
5564,Lars A. Berglund,,,Luleå University of Technology
5565,Anna Nilsson,,,Karolinska Institute
5566,Lars Naver,,,Karolinska Institute
5567,Anne-Sophie Crépin,,,Stockholm University
5568,Susanne P. Baden,,,University of Gothenburg
5569,Laurent Brun,,,Stockholm University
5570,Jonas Burén,,,Umeå University
5571,Joachim Sturve,,,University of Gothenburg
5572,Rimvydas Vasaitis,,,Swedish University of Agricultural Sciences
5573,Mats Y. Svensson,,,Chalmers University of Technology
5574,Linnéa Smeds,,,Uppsala University
5575,Armita Golkar,,,Karolinska Institute
5576,Armita Golkar,,,Uppsala University
5577,Martin I Lind,,,Umeå University
5578,Petri Olivius,,,Karolinska Institute
5579,Dieter Samyn,,,Linnaeus University
5580,Emma Hagström Molin,,,Stockholm University
5581,Lei Ye,,,Lund University
5582,Eva Weidemann,,,Umeå University
5583,Svante Winberg,,,Uppsala University
5584,Karin Larsson,,,Chalmers University of Technology
5585,Ivana Novak,,,Karolinska Institute
5586,Magnus Sandberg,,,Karolinska Institute
5587,Emmanuel Aboagye,,,Karolinska Institute
5588,Henrik Viberg,,,Uppsala University
5589,Dipti Halder,,,Royal Institute of Technology
5590,Jonas Alin,,,Royal Institute of Technology
5591,Sourav Datta,,,University of Gothenburg
5592,Mohammad Ali Okhovat,,,Örebro University
5593,Sepideh Olausson,,,Linnaeus University
5594,Martin D. Brazeau,,,Uppsala University
5595,Jan C. Biro,,,Karolinska Institute
5596,Solveig Jülich,,,Linköping University
5597,Ashkan Panahi,,,Chalmers University of Technology
5598,Bertil Werner,,,Uppsala University
5599,Elsa Bolin,,,Lund University
5600,Jan Pennlöv,,,Lund University
5601,Martin Anderberg,,,Lund University
5602,Inge Andblom,,,Royal Institute of Technology
5603,Göran Larsson,,,University of Gothenburg
5604,Lisa Blom,,,Karolinska Institute
5605,Eric Peter Thelin,,,Karolinska Institute
5606,Åsa Snöljung,,,Karolinska Institute
5607,Jonas N Pedersen,,,Lund University
5608,Åsa Edvinsson,,,Uppsala University
5609,Staffan Holmqvist,,,Lund University
5610,Carita Paradis,,,Lund University
5611,Magnus Nordborg,,,Lund University
5612,Marie Klingberg-Allvin,,,Karolinska Institute
5613,Ellinor Östensson,,,Karolinska Institute
5614,David N. Messina,,,Stockholm University
5615,Henrik Renlund,,,Uppsala University
5616,Sharareh Akhavan,,,Karolinska Institute
5617,Urban Johanson,,,Uppsala University
5618,Alexandra Paul,,,Chalmers University of Technology
5619,Lilly Augustine,,,Karolinska Institute
5620,Emma Fransson,,,Stockholm University
5621,Emma Fransson,,,Karolinska Institute
5622,Martin Neovius,,,Karolinska Institute
5623,Johan Bjureberg,,,Karolinska Institute
5624,Johan Bjureberg,,,Uppsala University
5625,Erland Axelsson,,,Karolinska Institute
5626,Tomas Jonsson,,,Linköping University
5627,Monir Mazaheri,,,Karolinska Institute
5628,Mikael Råsander,,,Uppsala University
5629,Jonas Sundell,,,Chalmers University of Technology
5630,Maria Jirwe,,,Karolinska Institute
5631,Joakim Öhlén,,,University of Gothenburg
5632,Svante Hedström,,,Royal Institute of Technology
5633,Svante Hedström,,,Lund University
5634,Martin Karlsson,,,Linköping University
5635,Lars Brising,,,Royal Institute of Technology
5636,Line Gordon,,,Stockholm University
5637,Karl-Ingvar Rundqvist,,,Lund University
5638,Marie Louise Hall-Lord,,,University of Gothenburg
5639,Marina Alexandersson,,,University of Gothenburg
5640,Camilla Scheele,,,Swedish University of Agricultural Sciences
5641,Camilla Scheele,,,Karolinska Institute
5642,Thomas G T Jaenson,,,Uppsala University
5643,Magnus Sandberg,,,Lund University
5644,Anders Aspberg,,,Uppsala University
5645,Ruiqing Ni,,,Karolinska Institute
5646,John Stjernfalk,,,Linköping University
5647,John Stjernfalk,,,Uppsala University
5648,Gustaf Eklund,,,Stockholm University
5649,Lars Lindström,,,Uppsala University
5650,Lennart Holm,,,Chalmers University of Technology
5651,Marcela Sylvander,,,University of Gothenburg
5652,Ayesha De Costa,,,Karolinska Institute
5653,Christian Olsson,,,Karolinska Institute
5654,Gustav Jarl,,,Örebro University
5655,Sören Thurell,,,Royal Institute of Technology
5656,John H-O Pettersson,,,Uppsala University
5657,Paul Oburu,,,University of Gothenburg
5658,Hans Forssberg,,,Karolinska Institute
5659,Christofer Edling,,,Stockholm University
5660,Lisa B Thorell,,,Uppsala University
5661,Stefan Wagnsson,,,Karlstad University
5662,Agneta Yngve,,,Karolinska Institute
5663,Måns Nilsson,,,Lund University
5664,Thomas Hahn,,,Swedish University of Agricultural Sciences
5665,Fernando Jaramillo,,,Stockholm University
5666,Martin Weih,,,Uppsala University
5667,Pär Nordin,,,Umeå University
5668,Britt-marie Wilén,,,Chalmers University of Technology
5669,Johan Mölne,,,University of Gothenburg
5670,Elna-Marie Larsson,,,Lund University
5671,Michael D. B. Swedberg,,,Uppsala University
5672,Malin Jonsson Fagerlund,,,Karolinska Institute
5673,Lars Gustafsson,,,Uppsala University
5674,Zoltan Nagy,,,Karolinska Institute
5675,Daniel Svensson,,,Stockholm University
5676,Daniel Svensson,,,Lund University
5677,Morten Tange Olsen,,,Stockholm University
5678,Pernilla Eliasson,,,Linköping University
5679,Mats Eriksson,,,Karolinska Institute
5680,Peter Johansson,,,Lund University
5681,Sridhar Mandali,,,Stockholm University
5682,Tomas Bergström,,,Uppsala University
5683,Hans Garmo,,,Uppsala University
5684,Erik Wernersson,,,University of Gothenburg
5685,Huiling Mu,,,Lund University
5686,Oleg Mirzov,,,Lund University
5687,Karin Markenroth Bloch,,,Chalmers University of Technology
5688,Martin Lagging,,,Karolinska Institute
5689,Kent W. Nilsson,,,Uppsala University
5690,Erik Hemmingsson,,,Karolinska Institute
5691,Alexander Goncharov,,,Lund University
5692,Camilla Sjögren Björkegren,,,Stockholm University
5693,Sophie Erhardt,,,Karolinska Institute
5694,Peter Garvin,,,Linköping University
5695,David Andersson,,,Lund University
5696,Max Bell,,,Karolinska Institute
5697,Jiguo Yu,,,Umeå University
5698,Stergios Kechagias,,,Linköping University
5699,Gerard Bannenberg,,,Karolinska Institute
5700,Mathias Nilsson,,,Swedish University of Agricultural Sciences
5701,Elena Pavlova,,,Karolinska Institute
5702,Gunilla Lindström,,,Umeå University
5703,Gunnar Hägglund,,,Lund University
5704,Paul Gerdhem,,,Karolinska Institute
5705,Björn Kull,,,Karolinska Institute
5706,Björn Kull,,,Lund University
5707,Hitesh V Motwani,,,Stockholm University
5708,Hannele Tuominen,,,Swedish University of Agricultural Sciences
5709,Alia Humaid Al Qassimi,,,Lund University
5710,Georg Ericsson,,,Uppsala University
5711,Susanne Rappmann,,,Karlstad University
5712,Patrik Fazio,,,Karolinska Institute
5713,Hakon Leffler,,,University of Gothenburg
5714,Fernando Tavares,,,Umeå University
5715,Mikael Ejdebäck,,,University of Gothenburg
5716,Andrej Weintraub,,,Stockholm University
5717,Andrej Weintraub,,,Karolinska Institute
5718,Martin Lundqvist,,,Linköping University
5719,Johan Nilvebrant,,,Royal Institute of Technology
5720,Kristina Berglund,,,University of Gothenburg
5721,Åke Hörnell,,,Chalmers University of Technology
5722,Gabriel Riva,,,Karolinska Institute
5723,Staffan Rosenborg,,,Karolinska Institute
5724,Erik Lind,,,Lund University
5725,Andreas Kalckert,,,Karolinska Institute
5726,Gunilla Ajne,,,Karolinska Institute
5727,Maria Josefsson,,,Umeå University
5728,Sara Pudas,,,Umeå University
5729,Sara Pudas,,,Stockholm University
5730,Johannes Bjerva,,,Stockholm University
5731,Tobias Nordström,,,Karolinska Institute
5732,Jan Adolfsson,,,Karolinska Institute
5733,Ragnar Hultborn,,,University of Gothenburg
5734,Rolf Adolfsson,,,Umeå University
5735,Thomas Laurell,,,Lund University
5736,Jakob Makeléer,,,Uppsala University
5737,Birgitta Bergvall-Kåreborn,,,Luleå University of Technology
5738,Junwei Zhu,,,Lund University
5739,Maria Häll,,,Luleå University of Technology
5740,Carl Fredrik Hammarhielm,,,Uppsala University
5741,Christian Ståhl,,,Linköping University
5742,Sara Hallin,,,Swedish University of Agricultural Sciences
5743,Emma Hovén,,,Karolinska Institute
5744,Ann Hellström,,,University of Gothenburg
5745,Moataz Dowaidar,,,Stockholm University
5746,Ny Björn Gustafsson,,,Stockholm University
5747,Katarina Westling,,,Karolinska Institute
5748,AnnaSofia Mååg,,,University of Gothenburg
5749,Rachel Muheim,,,Lund University
5750,Marco Gallio,,,Karolinska Institute
5751,Claes Zettermarck,,,Stockholm University
5752,Anders Hultqvist,,,University of Gothenburg
5753,Michelle Wille,,,Linnaeus University
5754,Leif Friberg,,,Karolinska Institute
5755,Urban Lindgren,,,Umeå University
5756,Eva Forsgren,,,Swedish University of Agricultural Sciences
5757,Anders Løøv,,,Uppsala University
5758,Jan Carlson,,,Linköping University
5759,Gustaf Henrik Mannerheim,,,Uppsala University
5760,Bengt Zöller,,,Lund University
5761,Lena M Hansson,,,Karolinska Institute
5762,Mahmood Jeddi-Tehrani,,,Karolinska Institute
5763,Einar Heiberg,,,Linköping University
5764,Anders R Nilsson,,,Royal Institute of Technology
5765,Anders R Nilsson,,,Uppsala University
5766,Björgvin Hjörvarsson,,,Uppsala University
5767,Sviatlana Shashkova,,,University of Gothenburg
5768,Dick R Nässel,,,Lund University
5769,Karin Kallander,,,Karolinska Institute
5770,Mehmet Eskin,,,Stockholm University
5771,Marcus Sokolowski,,,Uppsala University
5772,Erik Andersson,,,Karolinska Institute
5773,Mats Samuelsson,,,Karolinska Institute
5774,Tomas Brodin,,,Umeå University
5775,Anton Dahlberg,,,Uppsala University
5776,Alastair B. Ross,,,Swedish University of Agricultural Sciences
5777,Hanna Skarin,,,Swedish University of Agricultural Sciences
5778,Hanna Skarin,,,Uppsala University
5779,Peter Nordlander,,,Chalmers University of Technology
5780,Salam Al-Karadaghi,,,Stockholm University
5781,Björn Granseth,,,Linköping University
5782,Rajeev Prabhakar,,,Stockholm University
5783,Stina Syvänen,,,Uppsala University
5784,Karin Forslund Frykedal,,,Linköping University
5785,Soheil Damangir,,,Royal Institute of Technology
5786,Soheil Damangir,,,Karolinska Institute
5787,Eva Brink,,,University of Gothenburg
5788,Tony Pansell,,,Karolinska Institute
5789,Hanna Woksepp,,,Linnaeus University
5790,Eva Björck-Åkesson,,,University of Gothenburg
5791,Olof Troilius,,,Uppsala University
5792,Lennart Fredlund,,,Lund University
5793,Ina Berndtsson,,,University of Gothenburg
5794,Lars Rönnstrand,,,Uppsala University
5795,Lars Hillered,,,Uppsala University
5796,Böret Palm,,,Uppsala University
5797,Jenny Ohlsson,,,Uppsala University
5798,Clas Linnman,,,Uppsala University
5799,Johan Winges,,,Chalmers University of Technology
5800,Aniko Bartfai,,,Stockholm University
5801,Max Larsson,,,Lund University
5802,Eva Karltorp,,,Karolinska Institute
5803,Anders Söderberg,,,Uppsala University
5804,Jan Blomqvist,,,University of Gothenburg
5805,Stina Jakobsson,,,Umeå University
5806,Helena Karlström,,,Stockholm University
5807,Helena Karlström,,,Karolinska Institute
5808,Ala Trusina,,,Umeå University
5809,Irene Svenningsson,,,University of Gothenburg
5810,Karin Alvåsen,,,Swedish University of Agricultural Sciences
5811,Tino Ebbers,,,Linköping University
5812,Lars Samuelson,,,Lund University
5813,Olof Ljungström,,,Royal Institute of Technology
5814,Joanna Hemmingsson,,,Karolinska Institute
5815,Oskar Skog,,,Uppsala University
5816,Åsa H Everhov,,,Karolinska Institute
5817,Lotta Agholme,,,Linköping University
5818,Ali Reza Majlesi,,,Stockholm University
5819,Anders H. Karlsson,,,Swedish University of Agricultural Sciences
5820,Anna Dunér,,,University of Gothenburg
5821,Mahmoud Labib,,,Lund University
5822,Liquid Rainbow,,,Karlstad University
5823,Martin Larsson,,,Karolinska Institute
5824,Martin Larsson,,,University of Gothenburg
5825,Marianne Kärrholm,,,Chalmers University of Technology
5826,Leif Küller,,,Chalmers University of Technology
5827,Göran Borggård,,,Stockholm University
5828,Elin Bergeås Kuutmann,,,Stockholm University
5829,Kerstin Stråby,,,Uppsala University
5830,Ylva Fältholm,,,Luleå University of Technology
5831,Rakel Wreland Lindström,,,University of Gothenburg
5832,Joachim Bingel,,,Uppsala University
5833,Andreas T Sørensen,,,Lund University
5834,Peter Agback,,,Uppsala University
5835,Anna Ström,,,Chalmers University of Technology
5836,Staffan Vängby,,,Stockholm University
5837,René Wugt Larsen,,,Lund University
5838,Lage Knape,,,Royal Institute of Technology
5839,Erik Widman,,,Royal Institute of Technology
5840,Erik Widman,,,Karolinska Institute
5841,Birgitta Wallace,,,Uppsala University
5842,Anna Pettersson,,,Karolinska Institute
5843,Zhongshan Li,,,Lund University
5844,Johan Sandin,,,Karolinska Institute
5845,Susanna Radovic,,,University of Gothenburg
5846,Georgi Ganev,,,Uppsala University
5847,Peter Lindgren,,,Karolinska Institute
5848,Claes Norring,,,Uppsala University
5849,Olena Prykhodko,,,Lund University
5850,Q50768461,,,Uppsala University
5851,Thomas Andersson,,,University of Gothenburg
5852,Kari Hoel,,,Lund University
5853,Jonathan Chico,,,Uppsala University
5854,Lars Bergqvist,,,Uppsala University
5855,Hong Qian,,,Lund University
5856,Ulla Eriksson-Zetterquist,,,University of Gothenburg
5857,Lars Baltzer,,,University of Gothenburg
5858,Maria Norrby,,,Karolinska Institute
5859,Syed Moniruzzaman,,,Umeå University
5860,Syed Moniruzzaman,,,Karlstad University
5861,Olof Ohlsson Sax,,,Uppsala University
5862,Olle Hellman,,,Linköping University
5863,Bernd Stegmayr,,,Umeå University
5864,Kristoffer Petersson,,,Lund University
5865,Eva Nordberg Karlsson,,,Lund University
5866,Bright I. Nwaru,,,University of Gothenburg
5867,Jonas Fuxe,,,Karolinska Institute
5868,Erik T. Jansson,,,Chalmers University of Technology
5869,Sasan Sadrizadeh,,,Royal Institute of Technology
5870,Parviz Kokhaei,,,Karolinska Institute
5871,Essam Refai,,,Karolinska Institute
5872,Qing Cheng,,,Karolinska Institute
5873,Åsa Cider,,,University of Gothenburg
5874,Leonard Girnita,,,Karolinska Institute
5875,Ulf Jondelius,,,University of Gothenburg
5876,Caroline Sutton,,,Stockholm University
5877,Caroline Sutton,,,Uppsala University
5878,Liane Wagner,,,Swedish University of Agricultural Sciences
5879,Marta Busse-Wicher,,,Uppsala University
5880,Thomas Moritz,,,Swedish University of Agricultural Sciences
5881,Sandra Siljeström,,,Stockholm University
5882,Elof Holstenius,,,Uppsala University
5883,Pedro E. Ferreira,,,Karolinska Institute
5884,Johan Raeder,,,Stockholm University
5885,Sebastian Kalamajski,,,Lund University
5886,Gudrun Jonasdottir,,,Karolinska Institute
5887,Lennart Carlsson,,,Karolinska Institute
5888,Hugo Abramson,,,Royal Institute of Technology
5889,Karl Gustav Linden,,,Stockholm University
5890,Kristina Bergendal,,,Lund University
5891,Dimitris Georgellis,,,Karolinska Institute
5892,Olle Ekberg,,,Lund University
5893,Maria Moller,,,Swedish University of Agricultural Sciences
5894,Cecilia Williams,,,Royal Institute of Technology
5895,Bjorn Andersson,,,Karolinska Institute
5896,Chuen Seng Tan,,,Karolinska Institute
5897,Gunnar Qvarnström,,,Uppsala University
5898,Jari Häkkinen,,,Lund University
5899,Kirsti Skavberg Roaldsen,,,Karolinska Institute
5900,Kristjana Einarsdóttir,,,Karolinska Institute
5901,Erik G. Brandt,,,Royal Institute of Technology
5902,Shahid Mahmood,,,Lund University
5903,M Ullner,,,Lund University
5904,Kanyiva Muindi,,,Umeå University
5905,Vladimer Darsalia,,,Lund University
5906,Staffan G Svärd,,,Uppsala University
5907,Yu Sun,,,Uppsala University
5908,Magdalena Mattebo,,,Uppsala University
5909,Tobias Laurell,,,Karolinska Institute
5910,Ewa Andersson,,,Karolinska Institute
5911,Davide Angeletti,,,Karolinska Institute
5912,Gerald Engström,,,Stockholm University
5913,Gustaf Borenius,,,Stockholm University
5914,Lars-Olof Sjöberg,,,Uppsala University
5915,Muhammad Munir,,,Swedish University of Agricultural Sciences
5916,Anders M Lindroth,,,Swedish University of Agricultural Sciences
5917,Anders M Lindroth,,,Uppsala University
5918,Nadia Duarte,,,Umeå University
5919,Carl Brunius,,,Swedish University of Agricultural Sciences
5920,Pavel Plevka,,,Uppsala University
5921,Helga Westerlind,,,Karolinska Institute
5922,Bo Hovstadius,,,Linnaeus University
5923,Mats Sundbeck,,,Lund University
5924,Nils Holmberg,,,Lund University
5925,Björn Johnson,,,Lund University
5926,Maria Furberg,,,Umeå University
5927,Juan Du,,,Karolinska Institute
5928,Daniel Ocampo Daza,,,Uppsala University
5929,Anna Eklöf,,,Linköping University
5930,C Ottander,,,Umeå University
5931,Geir Rune Rauset,,,Swedish University of Agricultural Sciences
5932,Niclas Jareborg,,,Uppsala University
5933,Omid R Faridani,,,Karolinska Institute
5934,Claes Gustafsson,,,Umeå University
5935,Izaura Lima Bomfim,,,Karolinska Institute
5936,Olof Sundström,,,Lund University
5937,Lars Rosengren,,,University of Gothenburg
5938,Eric M. Runesson,,,Stockholm University
5939,Carl Axel Örn,,,Royal Institute of Technology
5940,Gunilla Wastensson,,,University of Gothenburg
5941,Katarina Andersson,,,Umeå University
5942,Mats X Andersson,,,University of Gothenburg
5943,Graciela Rusch,,,Uppsala University
5944,Darius Balciunas,,,Uppsala University
5945,Lars Tottie,,,Uppsala University
5946,John Pernow,,,Karolinska Institute
5947,Benedikt von der Heyde,,,Uppsala University
5948,Fredrik Björklund,,,Lund University
5949,Håkan Brorson,,,Lund University
5950,Carl Mårten Lindqvist,,,Uppsala University
5951,Francesco Taddia,,,Stockholm University
5952,Mikael Rahmqvist,,,Linköping University
5953,Peter Spégel,,,Lund University
5954,Anders I Persson,,,University of Gothenburg
5955,Nelson Ndegwa,,,Karolinska Institute
5956,Michael Nekludov,,,Karolinska Institute
5957,Tanja Tomson,,,Karolinska Institute
5958,Johanna Tauriainen,,,Karolinska Institute
5959,Peter Waiswa,,,Karolinska Institute
5960,Antonia Liess,,,Uppsala University
5961,Mari Hansen,,,Stockholm University
5962,Edward Matenga,,,Uppsala University
5963,Marco Beretta,,,Uppsala University
5964,Max Gordon,,,Karolinska Institute
5965,Annika Keller,,,Uppsala University
5966,Andrea Bieder,,,Karolinska Institute
5967,Qingwei Gao,,,Luleå University of Technology
5968,Devanita Ghosh,,,Linköping University
5969,Anton F Kockum,,,Chalmers University of Technology
5970,Thomas Kahan,,,Karolinska Institute
5971,Björn Rogell,,,Uppsala University
5972,Gustaf Adolf Gyllenborg,,,Uppsala University
5973,Mikael Borg,,,Lund University
5974,Oskar Ragnarsson,,,University of Gothenburg
5975,Bengt Novik,,,Karolinska Institute
5976,Thomas Fransson,,,Linköping University
5977,Göran Arnqvist,,,Umeå University
5978,Gunnar Norstedt,,,Karolinska Institute
5979,Malin Fex,,,Lund University
5980,Per Augustsson,,,Lund University
5981,Patrik R. Lennartsson,,,Chalmers University of Technology
5982,Lars Montelius,,,Lund University
5983,Maj Rundlöf,,,Lund University
5984,Jae-Kwang Kim,,,Chalmers University of Technology
5985,Gunnar A. Niklasson,,,Chalmers University of Technology
5986,Erik I Svensson,,,Lund University
5987,Maria C. Hansson,,,Lund University
5988,Alf Gullbring,,,Uppsala University
5989,Birgit F Steffensen,,,Karolinska Institute
5990,Arnulf Merker,,,Lund University
5991,Muntasir Mamun Majumder,,,Stockholm University
5992,Katrin J. Svensson,,,Lund University
5993,Johan Svensson,,,Karolinska Institute
5994,Helena Enroth,,,Karolinska Institute
5995,Helena Enroth,,,Uppsala University
5996,Marcus Larsson,,,Linköping University
5997,Marcus Lindskog,,,Uppsala University
5998,Björn Södergård,,,Uppsala University
5999,Thomas Eriksson,,,Chalmers University of Technology
6000,Nils Cronberg,,,Lund University
6001,Hüseyin Uysal,,,Lund University
6002,Sandipan Mohanty,,,Lund University
6003,Georg Stenberg,,,Lund University
6004,Pär Jonsson,,,Umeå University
6005,Kristina Håkansson,,,Uppsala University
6006,Eija Viitasara,,,Mid Sweden University
6007,Magnus Västerbro,,,Umeå University
6008,Magnus Västerbro,,,Stockholm University
6009,Magnus Västerbro,,,University of Gothenburg
6010,Per Johansson,,,University of Gothenburg
6011,Clas Malmeström,,,University of Gothenburg
6012,Firoz Shah,,,Lund University
6013,Keith W Larson,,,Lund University
6014,Martin Stervander,,,Lund University
6015,Naomi P. Keehnen,,,Lund University
6016,Mårten Lind,,,Swedish University of Agricultural Sciences
6017,Johan F Nilsson,,,Lund University
6018,Sandra C. Soares,,,Karolinska Institute
6019,Ellika Andolf,,,Uppsala University
6020,Fredrik K Karlsson,,,Linköping University
6021,Janet Newman,,,Swedish University of Agricultural Sciences
6022,Victor Gray,,,Chalmers University of Technology
6023,Folke Dahl,,,Uppsala University
6024,Mikael Svensson,,,Karolinska Institute
6025,Lisa Ekstam,,,Karolinska Institute
6026,Joachim Burman,,,Uppsala University
6027,Anders Malmström,,,Lund University
6028,Anders Mårell,,,Swedish University of Agricultural Sciences
6029,Gaurav K. Varshney,,,Umeå University
6030,Henrik Kylin,,,Stockholm University
6031,Igor Drobyshev,,,Lund University
6032,Lena Wennersten,,,Linnaeus University
6033,Dmitry Nashchekin,,,Karolinska Institute
6034,Per Ljungman,,,Karolinska Institute
6035,Per-Ola Norrby,,,Royal Institute of Technology
6036,Dan Bylund,,,Uppsala University
6037,Fredrik Klevebro,,,Karolinska Institute
6038,Ahmed M Saveer,,,Swedish University of Agricultural Sciences
6039,Mário Mil-Homens,,,University of Gothenburg
6040,Andreas Lindblad,,,Uppsala University
6041,Morten Tange Kristensen,,,Lund University
6042,Per-Erik Lyrén,,,Umeå University
6043,Qing-Yin Zeng,,,Umeå University
6044,Anders Vikström,,,Linköping University
6045,L Nilsson,,,Linköping University
6046,André Mateus,,,Uppsala University
6047,Torbjörn Pettersson,,,Royal Institute of Technology
6048,Torbjörn Pettersson,,,Stockholm University
6049,Solveig Felton,,,Uppsala University
6050,Lars Eklund,,,Linköping University
6051,Lars Eklund,,,Uppsala University
6052,Nicklas Selander,,,Stockholm University
6053,Magnus Karlsson,,,Chalmers University of Technology
6054,Erik Marsja,,,Umeå University
6055,Mikael Andersson,,,University of Gothenburg
6056,Nalini Vudattu,,,Karolinska Institute
6057,Jonas Strandberg,,,Stockholm University
6058,Arto Heiskanen,,,Lund University
6059,Ludvig Manderström,,,Uppsala University
6060,Jorge Osorio-Guillén,,,Uppsala University
6061,Birgit Vahlberg,,,Uppsala University
6062,Stefano Bonetti,,,Royal Institute of Technology
6063,Vincent Lundberg,,,Uppsala University
6064,Peter Jacobson,,,University of Gothenburg
6065,Jimmy Ytterberg,,,Stockholm University
6066,Svante Jonsell,,,Uppsala University
6067,Dmitri Tentler,,,Uppsala University
6068,Natacha Gagné,,,Lund University
6069,Erik Liljefors,,,Karolinska Institute
6070,Gunnar Dahlbäck,,,Lund University
6071,Sven Gerdin,,,Royal Institute of Technology
6072,Tadeusz Wieloch,,,Lund University
6073,Malin Jonell,,,Stockholm University
6074,Giola Santoni,,,Karolinska Institute
6075,Michael Welsh,,,Uppsala University
6076,Alexander Eiler,,,Uppsala University
6077,Elin Ersson,,,University of Gothenburg
6078,Jonas Rafi,,,Karolinska Institute
6079,Ingrid Hedenfalk,,,Lund University
6080,Björn Rosén,,,Royal Institute of Technology
6081,Ashish Pathak,,,Karolinska Institute
6082,Johan Zetterberg,,,Lund University
6083,Per Carlson,,,Stockholm University
6084,Dmitry Grishenkov,,,Royal Institute of Technology
6085,Staffan Strömblad,,,Karolinska Institute
6086,Mohamed Saber Ismail,,,Stockholm University
6087,Claes von Hofsten,,,Uppsala University
6088,Lars G Rudstam,,,Stockholm University
6089,Rizaldy P Scott,,,Karolinska Institute
6090,Martin Gustavsson,,,Linköping University
6091,Richard Bindler,,,Umeå University
